"cust","cds","sales","date"
4,2,29.33,1997-01-01
4,2,29.73,1997-01-18
4,1,14.96,1997-08-02
4,2,26.48,1997-12-12
18,1,14.96,1997-01-04
21,3,63.34,1997-01-01
21,1,11.77,1997-01-13
50,1,6.79,1997-01-01
60,2,21.75,1997-02-01
71,1,13.97,1997-01-01
86,2,23.94,1997-01-01
111,1,35.99,1997-01-01
111,1,32.99,1997-01-11
111,4,77.96,1997-03-15
111,3,59.3,1997-04-16
111,2,134.98,1997-04-24
111,1,91.92,1997-06-23
111,3,47.08,1997-07-22
111,2,71.96,1997-07-26
111,3,78.47,1997-10-25
111,3,83.47,1997-12-06
111,4,84.46,1998-01-18
111,4,123.96,1998-02-15
111,2,32.98,1998-02-21
111,2,23.06,1998-02-26
111,1,72.99,1998-05-10
111,3,55.47,1998-06-20
112,1,11.77,1997-01-01
112,1,11.77,1997-02-05
113,3,32.91,1997-01-01
113,1,15.27,1998-03-04
113,1,11.49,1998-03-07
114,1,16.36,1997-01-01
114,2,28.13,1997-05-01
114,1,22.97,1997-09-08
114,1,28.49,1998-02-10
114,2,28.98,1998-02-11
131,2,30.32,1997-01-01
133,1,18.99,1997-01-01
133,1,14.37,1997-01-27
133,1,9.77,1997-02-01
133,1,15.99,1997-03-02
133,3,47.33,1997-05-04
133,3,59.74,1997-06-21
133,2,32.98,1997-11-11
151,1,13.97,1997-01-01
166,2,29.53,1997-01-01
166,2,16.48,1997-11-30
166,3,36.97,1997-12-13
166,2,17.98,1997-12-21
166,3,36.97,1997-12-24
166,1,11.49,1998-02-24
166,1,11.88,1998-03-18
166,1,11.88,1998-05-27
167,2,30.32,1997-01-19
167,1,13.77,1997-01-21
167,1,14.96,1997-03-08
167,2,24.95,1997-06-14
167,1,12.99,1997-10-11
167,1,59.49,1997-10-30
167,1,11.49,1997-11-23
167,1,18.49,1997-12-10
181,3,43.7,1997-01-01
198,1,15.76,1997-01-01
208,5,63.25,1997-01-11
208,5,70.38,1998-02-21
221,1,12.49,1997-01-01
226,2,35.93,1997-01-02
226,2,26.73,1997-02-23
226,2,23.76,1997-04-20
226,2,24.74,1997-07-19
226,1,15.49,1998-02-15
226,3,43.47,1998-05-05
228,2,25.98,1997-01-01
228,2,23.54,1997-02-06
228,1,13.97,1997-02-11
228,1,27.77,1997-02-12
228,1,9.98,1997-02-28
228,1,15.36,1997-03-11
228,1,21.97,1997-05-27
228,1,17.3,1997-05-31
228,3,51.75,1997-07-08
228,2,36.74,1997-08-07
228,1,23.97,1997-08-28
228,3,41.47,1997-12-29
228,1,29.99,1998-01-06
234,1,13.97,1997-01-01
234,1,9.99,1997-02-04
243,2,17.96,1997-01-02
256,1,14.99,1997-01-02
256,2,34.6,1997-03-02
256,1,29.99,1997-04-14
261,1,8.77,1997-01-02
281,1,14.7,1997-01-02
