cust,date
8128357,02/22/2002
9430679,01/10/2002
9455908,04/19/2002
9652546,04/02/2002
9652546,01/06/2003
9652546,01/05/2004
9652546,12/28/2004
9652546,12/27/2005
9791641,01/17/2002
9791641,12/16/2002
9791641,10/15/2003
9791641,03/04/2004
9791641,02/13/2006
10458867,04/09/2002
10544021,04/12/2002
10544021,04/09/2004
10581619,04/22/2002
10581619,12/13/2002
10581619,02/24/2003
10581619,12/15/2003
10581619,09/30/2004
10581619,12/03/2004
10581619,04/05/2005
10581619,12/21/2005
10614089,03/05/2002
10614089,10/23/2003
10640019,04/23/2002
10870988,01/05/2002
10870988,02/05/2002
10870988,03/05/2002
10870988,04/05/2002
10870988,05/06/2002
10870988,06/05/2002
10870988,07/05/2002
10870988,08/05/2002
10870988,09/05/2002
10870988,10/05/2002
10870988,11/05/2002
10870988,12/05/2002
10870988,01/05/2003
10870988,02/05/2003
10870988,03/05/2003
10870988,04/05/2003
10870988,05/05/2003
10870988,06/05/2003
10870988,07/05/2003
10870988,08/05/2003
10870988,09/05/2003
10870988,10/05/2003
10870988,11/05/2003
10870988,12/05/2003
10870988,01/05/2004
10870988,02/05/2004
10870988,03/05/2004
10870988,04/05/2004
10870988,05/05/2004
10870988,06/05/2004
10870988,07/05/2004
10870988,08/05/2004
10870988,09/05/2004
10870988,10/05/2004
10870988,11/05/2004
10870988,12/06/2004
10870988,01/05/2005
10870988,02/05/2005
10870988,03/05/2005
10870988,04/05/2005
10870988,05/05/2005
10870988,06/05/2005
10870988,07/05/2005
10870988,08/05/2005
10982841,01/05/2002
10982841,02/05/2002
10982841,03/05/2002
10982841,04/05/2002
10982841,05/06/2002
10982841,06/05/2002
10982841,07/05/2002
10982841,08/05/2002
10982841,09/05/2002
10982841,10/05/2002
10982841,11/05/2002
10982841,12/05/2002
10982841,01/05/2003
10982841,02/05/2003
10982841,03/05/2003
10982841,04/05/2003
10982841,05/05/2003
10982841,06/05/2003
10982841,07/05/2003
10982841,08/05/2003
10982841,09/05/2003
10982841,10/05/2003
10982841,11/05/2003
10982841,12/05/2003
10982841,01/05/2004
10982841,02/05/2004
10982841,03/05/2004
10982841,04/05/2004
10982841,05/05/2004
10982841,06/05/2004
10982841,07/05/2004
10982841,08/05/2004
10982841,09/05/2004
10982841,11/05/2004
10982841,12/06/2004
10982841,01/05/2005
10982841,02/05/2005
10982841,03/05/2005
10982841,04/05/2005
10982841,05/05/2005
10982841,06/05/2005
10982841,07/05/2005
10982841,08/05/2005
10982841,09/05/2005
10982841,10/05/2005
10982841,11/05/2005
10982841,12/05/2005
10982841,01/05/2006
11137031,01/05/2002
11137031,02/05/2002
11137031,03/05/2002
11137031,04/05/2002
11137031,05/06/2002
11137031,06/05/2002
11137031,07/05/2002
11137031,08/05/2002
11137031,09/05/2002
11137031,10/05/2002
11137031,11/05/2002
11137031,12/05/2002
11137031,03/05/2003
11137031,04/05/2003
11137031,05/05/2003
11137031,06/05/2003
11137031,07/05/2003
11137031,08/05/2003
11137031,09/05/2003
11137031,10/05/2003
11137031,11/05/2003
11137031,12/05/2003
11137031,01/05/2004
11137031,02/05/2004
11137031,03/05/2004
11137031,04/05/2004
11137031,05/05/2004
11137031,06/05/2004
11137031,07/05/2004
11137031,08/05/2004
11137031,09/05/2004
11137031,10/05/2004
11137031,11/05/2004
11137031,12/06/2004
11137031,01/05/2005
11241650,01/04/2002
11241650,02/05/2002
11241650,03/05/2002
11241650,04/05/2002
11241650,05/06/2002
11241650,06/05/2002
11241650,07/05/2002
11241650,08/05/2002
11241650,09/05/2002
11241650,10/05/2002
11241650,11/05/2002
11241650,12/05/2002
11241650,01/05/2003
11241650,02/05/2003
11241650,03/05/2003
11241650,04/05/2003
11241650,05/05/2003
11241650,06/05/2003
11241650,07/05/2003
11241650,08/05/2003
11241650,09/05/2003
11241650,10/05/2003
11241650,11/05/2003
11241650,12/05/2003
11241650,01/05/2004
11241650,02/05/2004
11241650,03/05/2004
11241890,01/04/2002
11241890,02/05/2002
11241890,03/05/2002
11241890,04/05/2002
11241890,05/06/2002
11241890,06/05/2002
11241890,07/05/2002
11241890,08/05/2002
11241890,09/05/2002
11241890,10/05/2002
11241890,11/05/2002
11241890,12/05/2002
11241890,01/05/2003
11241890,02/05/2003
11241890,03/05/2003
11241890,04/05/2003
11241890,05/05/2003
11241890,06/05/2003
11241890,07/05/2003
11241890,08/05/2003
11241890,09/05/2003
11242930,01/16/2002
11242930,09/23/2004
11243854,01/02/2002
11243854,01/05/2004
11243854,01/24/2005
11243862,01/02/2002
11243862,02/25/2002
11243862,09/12/2005
11243870,01/02/2002
11243870,03/11/2003
11243870,11/04/2004
11249331,01/02/2002
11249349,01/02/2002
11249349,01/08/2003
11249356,01/02/2002
11249364,01/02/2002
11249364,11/18/2002
11249364,01/08/2004
11249364,12/28/2004
11249364,10/17/2005
11249364,04/25/2006
11249372,01/02/2002
11249380,01/02/2002
11249380,12/12/2002
11249406,01/02/2002
11249406,12/23/2002
11249406,09/22/2003
11249406,11/22/2004
11249406,05/13/2005
11249414,01/02/2002
11249448,01/02/2002
11249646,01/02/2002
11249653,01/02/2002
11249653,12/10/2003
11249653,11/17/2004
11249653,12/19/2005
11249661,01/02/2002
11249679,01/02/2002
11249679,12/16/2002
