"cust","date","first"
6558,2006-02-21,2006-02-21
6558,2006-03-16,2006-02-21
6558,2006-04-11,2006-02-21
6558,2006-06-01,2006-02-21
6558,2006-07-19,2006-02-21
6558,2006-07-20,2006-02-21
6558,2006-08-18,2006-02-21
6558,2006-09-09,2006-02-21
6558,2006-10-11,2006-02-21
6558,2006-11-14,2006-02-21
6558,2006-12-19,2006-02-21
6558,2007-01-17,2006-02-21
6558,2007-01-28,2006-02-21
6558,2007-02-14,2006-02-21
6558,2007-03-16,2006-02-21
6558,2007-04-18,2006-02-21
6558,2007-05-30,2006-02-21
6558,2007-07-03,2006-02-21
6558,2007-07-13,2006-02-21
6558,2007-07-14,2006-02-21
6558,2007-08-14,2006-02-21
6558,2007-12-21,2006-02-21
16595,2006-01-21,2006-01-21
16838,2006-02-10,2006-02-10
16838,2006-03-17,2006-02-10
16838,2006-06-16,2006-02-10
16838,2007-06-22,2006-02-10
26001,2006-02-21,2006-02-21
26001,2006-03-03,2006-02-21
26001,2006-04-08,2006-02-21
26001,2006-05-20,2006-02-21
26001,2006-07-12,2006-02-21
26001,2006-08-05,2006-02-21
26001,2006-09-09,2006-02-21
26001,2006-10-07,2006-02-21
26001,2006-11-09,2006-02-21
26001,2006-12-15,2006-02-21
26001,2007-01-06,2006-02-21
26001,2007-03-25,2006-02-21
26001,2007-04-22,2006-02-21
26001,2007-06-27,2006-02-21
26001,2007-07-31,2006-02-21
26001,2007-08-15,2006-02-21
26001,2007-10-17,2006-02-21
26001,2007-10-30,2006-02-21
26001,2007-11-27,2006-02-21
34318,2006-01-19,2006-01-19
34318,2006-08-17,2006-01-19
34318,2007-03-13,2006-01-19
34318,2007-03-23,2006-01-19
34318,2007-04-03,2006-01-19
34318,2007-04-11,2006-01-19
34318,2007-05-09,2006-01-19
34318,2007-05-22,2006-01-19
34318,2007-06-27,2006-01-19
34318,2007-08-11,2006-01-19
34318,2007-08-24,2006-01-19
34318,2007-10-02,2006-01-19
34318,2007-10-18,2006-01-19
34318,2007-11-01,2006-01-19
34318,2007-11-22,2006-01-19
34318,2007-12-07,2006-01-19
34318,2007-12-18,2006-01-19
34318,2007-12-22,2006-01-19
34318,2007-12-27,2006-01-19
49101,2006-02-23,2006-02-23
49101,2006-03-07,2006-02-23
49101,2006-03-21,2006-02-23
49101,2006-04-04,2006-02-23
49101,2006-04-26,2006-02-23
49101,2006-05-04,2006-02-23
49101,2006-05-11,2006-02-23
49101,2006-05-23,2006-02-23
49101,2006-06-07,2006-02-23
49101,2006-06-15,2006-02-23
49101,2006-10-24,2006-02-23
49101,2006-11-07,2006-02-23
49101,2006-11-16,2006-02-23
49101,2006-11-28,2006-02-23
49101,2006-12-05,2006-02-23
49101,2006-12-13,2006-02-23
49101,2006-12-20,2006-02-23
49101,2006-12-22,2006-02-23
49101,2007-01-03,2006-02-23
49101,2007-01-16,2006-02-23
49101,2007-01-27,2006-02-23
49101,2007-02-07,2006-02-23
49101,2007-02-13,2006-02-23
49101,2007-02-20,2006-02-23
49101,2007-02-27,2006-02-23
49101,2007-03-08,2006-02-23
49101,2007-03-13,2006-02-23
49101,2007-03-21,2006-02-23
49101,2007-04-17,2006-02-23
49101,2007-04-24,2006-02-23
49101,2007-05-08,2006-02-23
49101,2007-05-22,2006-02-23
49101,2007-06-06,2006-02-23
49101,2007-06-14,2006-02-23
49101,2007-07-17,2006-02-23
49101,2007-08-28,2006-02-23
49101,2007-09-07,2006-02-23
49101,2007-09-22,2006-02-23
49101,2007-10-04,2006-02-23
49101,2007-10-23,2006-02-23
49101,2007-11-03,2006-02-23
49101,2007-11-15,2006-02-23
49101,2007-11-28,2006-02-23
49101,2007-12-11,2006-02-23
49101,2007-12-18,2006-02-23
49353,2006-03-02,2006-03-02
49353,2006-03-31,2006-03-02
49353,2006-05-16,2006-03-02
49353,2006-05-27,2006-03-02
49353,2006-06-09,2006-03-02
49353,2006-06-15,2006-03-02
49353,2006-06-28,2006-03-02
49353,2006-07-11,2006-03-02
49353,2006-07-21,2006-03-02
49353,2006-07-27,2006-03-02
49353,2006-08-08,2006-03-02
49353,2006-08-15,2006-03-02
49353,2006-08-24,2006-03-02
49353,2006-09-01,2006-03-02
