"cust","date","amt"
5488,2009-04-19,98
5488,2009-04-28,19
5488,2009-05-22,78
5488,2009-06-02,48
5571,2009-04-05,138
5572,2009-04-08,153
5572,2009-05-12,530
5572,2009-05-19,0
5572,2009-06-29,276
5572,2009-07-31,98
5572,2009-09-05,49
5572,2009-09-23,39
5572,2009-10-26,231
5572,2009-12-11,148
5572,2010-04-16,275.8
5574,2009-04-05,177
5575,2009-04-16,49
5583,2009-04-02,69
5585,2009-04-04,81
5585,2009-06-26,157
5588,2009-04-04,725.5
5588,2009-05-19,171
5589,2009-04-04,89
5590,2009-04-07,246
5594,2009-04-07,49
5594,2009-06-04,107
5599,2009-04-03,162
5599,2009-04-14,175
5599,2009-04-19,69
5599,2009-05-04,38
5599,2009-06-20,189
5611,2009-04-03,138
5611,2009-11-09,169
5611,2010-01-11,89
5611,2010-01-19,35
5612,2009-04-07,89
5612,2009-12-31,298
5614,2009-04-02,142.5
5614,2009-06-05,79
5614,2010-03-17,218
5617,2009-04-05,99
5617,2009-04-11,39
5617,2009-06-14,217
5617,2010-01-28,139
5617,2010-04-13,138
5626,2009-04-05,230
5626,2009-04-23,198
5626,2009-10-13,154
5626,2009-10-19,168
5626,2009-10-29,29
5626,2010-01-24,49
5626,2010-01-25,59
5626,2010-01-28,104
5628,2009-04-09,29
5629,2009-04-09,241
5629,2009-04-15,48.9
5630,2009-04-17,307
5630,2009-05-05,99
5630,2009-10-28,495
5630,2010-04-02,218
5630,2010-04-14,227
5631,2009-04-25,248
5632,2009-04-14,265
5632,2009-09-08,307
5632,2009-09-20,79
5633,2009-04-10,188
5633,2009-11-12,59
5634,2009-04-11,159
5634,2009-08-28,129
5634,2009-10-10,99
5634,2010-04-20,298
5635,2009-04-18,199
5635,2009-07-04,138
5636,2009-04-15,49
5636,2009-05-15,49
5637,2009-04-19,34
5639,2009-04-09,79
5640,2009-04-10,169
5640,2010-04-20,515
5640,2010-04-26,119
5641,2009-04-20,247
5641,2009-06-22,159
5641,2009-08-31,125.9
