"merchant","cust","date","first"
"office","002586fae1f5e0adc1ec7559ad9aa828",2014-07-07,2014-04-22
"office","002586fae1f5e0adc1ec7559ad9aa828",2014-04-22,2014-04-22
"office","0036b76b24b994b33decc1c8ef279a35",2014-04-23,2014-04-23
"office","00d588629f054b6214230cd5de357b47",2014-07-09,2014-04-30
"office","00d588629f054b6214230cd5de357b47",2014-05-23,2014-04-30
"office","00d588629f054b6214230cd5de357b47",2014-04-30,2014-04-30
"office","01b2b1ba4f36d8de8a71c1a761c4649f",2014-07-24,2014-03-27
"office","01b2b1ba4f36d8de8a71c1a761c4649f",2014-05-27,2014-03-27
"office","01b2b1ba4f36d8de8a71c1a761c4649f",2014-05-19,2014-03-27
"office","01b2b1ba4f36d8de8a71c1a761c4649f",2014-05-19,2014-03-27
"office","01b2b1ba4f36d8de8a71c1a761c4649f",2014-04-08,2014-03-27
"office","01b2b1ba4f36d8de8a71c1a761c4649f",2014-03-27,2014-03-27
"office","0240c8859056264c029b94a1220e97be",2014-10-10,2014-03-26
"office","0240c8859056264c029b94a1220e97be",2014-08-28,2014-03-26
"office","0240c8859056264c029b94a1220e97be",2014-06-16,2014-03-26
"office","0240c8859056264c029b94a1220e97be",2014-04-28,2014-03-26
"office","0240c8859056264c029b94a1220e97be",2014-04-03,2014-03-26
"office","0240c8859056264c029b94a1220e97be",2014-03-26,2014-03-26
"office","02428e7132e9972fbeb207aa322e5fbf",2014-04-16,2014-04-16
"office","027e5ad49b66ddd70101a20253d8e1d8",2014-03-26,2014-03-26
"office","02cb3516cadbfd86de72da40543393b5",2014-04-28,2014-04-28
"office","02e612a91bc989ef44c48f1245adf75e",2014-03-19,2014-03-19
"office","03109a3646dde7f138af4f1f627217a3",2014-04-17,2014-04-17
"office","03c6ed21a1e5912ae1993bdab0e6ef4e",2014-06-09,2014-04-03
"office","03c6ed21a1e5912ae1993bdab0e6ef4e",2014-04-03,2014-04-03
"office","0417773f97e07491a6379ca5926db5e6",2014-06-25,2014-04-01
"office","0417773f97e07491a6379ca5926db5e6",2014-05-14,2014-04-01
"office","0417773f97e07491a6379ca5926db5e6",2014-04-24,2014-04-01
"office","0417773f97e07491a6379ca5926db5e6",2014-04-01,2014-04-01
"office","0417773f97e07491a6379ca5926db5e6",2014-04-01,2014-04-01
"office","0489f670496bf34a8af736bd1e1adf96",2014-04-07,2014-04-07
"office","04a0beebe04863b6a91c25c7056fbfe0",2014-03-26,2014-03-26
"office","04b00612f6a99ef6671d8ca3588ebd2d",2014-04-30,2014-04-30
"office","04fac655638893e2f53b655ab324f90f",2014-10-01,2014-04-15
"office","04fac655638893e2f53b655ab324f90f",2014-06-12,2014-04-15
"office","04fac655638893e2f53b655ab324f90f",2014-04-15,2014-04-15
"office","052b095be7eb084ee8648097d83330f8",2014-10-16,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-10-13,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-10-02,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-09-25,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-09-22,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-09-18,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-08-18,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-07-17,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-07-15,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-07-01,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-04-29,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-04-24,2014-04-03
"office","052b095be7eb084ee8648097d83330f8",2014-04-03,2014-04-03
"office","054225904101e11afa00702b65349a00",2014-10-21,2014-03-24
"office","054225904101e11afa00702b65349a00",2014-04-30,2014-03-24
"office","054225904101e11afa00702b65349a00",2014-03-24,2014-03-24
"office","054d521827f59fb457803f6b701c21eb",2014-04-10,2014-04-10
"office","059e317fdb8f9f1742ec91593ba3f568",2014-04-29,2014-04-29
"office","05d93380f0619a957f000fd175607774",2014-03-26,2014-03-26
"office","05f4c7af0f10fec88e0b85a9a33c260f",2014-04-28,2014-04-28
