"category","measure","model","value","k_wheat_tot","k_wheat"
"ACCESSOIRES.POUR.PLA","MAE","BG/NBD",0.405743494791435,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","MAE","BG/CNBD-k",0.401806406041111,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","MAE","MBG/NBD",0.367704454996612,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","MAE","MBG/CNBD-k",0.371793110536956,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","RMSE","BG/NBD",0.751028259344206,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","RMSE","BG/CNBD-k",0.75914307777385,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","RMSE","MBG/NBD",0.754348220252119,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","RMSE","MBG/CNBD-k",0.764944872253026,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","BIAS","BG/NBD",-0.585878716610246,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","BIAS","BG/CNBD-k",-0.620123323700152,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","BIAS","MBG/NBD",-0.747286960613388,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","BIAS","MBG/CNBD-k",-0.751865822784745,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","LL","BG/NBD",-569.578226588615,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","LL","BG/CNBD-k",-563.012451238665,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","LL","MBG/NBD",-568.004305836499,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","LL","MBG/CNBD-k",-561.446864804731,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","r","BG/NBD",0.140056111200264,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","r","BG/CNBD-k",0.129909480502484,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","r","MBG/NBD",2.40684436487845,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","r","MBG/CNBD-k",0.811873693546372,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","alpha","BG/NBD",4.87375565691335,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","alpha","BG/CNBD-k",1.52410855834488,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","alpha","MBG/NBD",27.6681134092217,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","alpha","MBG/CNBD-k",3.54258465422375,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","a","BG/NBD",9986.63441255731,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","a","BG/CNBD-k",8992.89755044217,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","a","MBG/NBD",6.26221679297981,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","a","MBG/CNBD-k",13.1821098467188,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","b","BG/NBD",8151.66563073026,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","b","BG/CNBD-k",6237.86647754478,"1.3292141780827","1.34504859587641"
"ACCESSOIRES.POUR.PLA","b","MBG/NBD",2.69289203054945,"1.3292141780827","1.34504859587641"
