"measure","model","value","file"
"MAE","BG/NBD",0.785453879387685,"cdnow-draws.rdata"
"MAE","BG/CNBD-k",0.785453879387685,"cdnow-draws.rdata"
"MAE","MBG/NBD",0.764777677725775,"cdnow-draws.rdata"
"MAE","MBG/CNBD-k",0.764777677725775,"cdnow-draws.rdata"
"MAE","P/NBD",0.770018384952623,"cdnow-draws.rdata"
"MAE","P/GGG",0.755055861971433,"cdnow-draws.rdata"
"RMSE","BG/NBD",1.60798176491727,"cdnow-draws.rdata"
"RMSE","BG/CNBD-k",1.60798176491727,"cdnow-draws.rdata"
"RMSE","MBG/NBD",1.60718361150658,"cdnow-draws.rdata"
"RMSE","MBG/CNBD-k",1.60718361150658,"cdnow-draws.rdata"
"RMSE","P/NBD",1.61151941542315,"cdnow-draws.rdata"
"RMSE","P/GGG",1.61253870578075,"cdnow-draws.rdata"
"BIAS","BG/NBD",-0.121470756442232,"cdnow-draws.rdata"
"BIAS","BG/CNBD-k",-0.121470756442232,"cdnow-draws.rdata"
"BIAS","MBG/NBD",-0.162214694205408,"cdnow-draws.rdata"
"BIAS","MBG/CNBD-k",-0.162214694205408,"cdnow-draws.rdata"
"BIAS","P/NBD",-0.0661707403471484,"cdnow-draws.rdata"
"BIAS","P/GGG",-0.125513637973787,"cdnow-draws.rdata"
"LL","BG/NBD",-9582.4292067873,"cdnow-draws.rdata"
"LL","BG/CNBD-k",-9582.4292067873,"cdnow-draws.rdata"
"LL","MBG/NBD",-9582.13571558839,"cdnow-draws.rdata"
"LL","MBG/CNBD-k",-9582.13571558839,"cdnow-draws.rdata"
"LL","P/NBD",NA,"cdnow-draws.rdata"
"LL","P/GGG",NA,"cdnow-draws.rdata"
"MAE","BG/NBD",0.1676290093099,"dietary-draws.rdata"
"MAE","BG/CNBD-k",0.150258083007966,"dietary-draws.rdata"
"MAE","MBG/NBD",0.166478394697583,"dietary-draws.rdata"
"MAE","MBG/CNBD-k",0.143766484754848,"dietary-draws.rdata"
"MAE","P/NBD",0.160566666666667,"dietary-draws.rdata"
"MAE","P/GGG",0.151625,"dietary-draws.rdata"
"RMSE","BG/NBD",0.284084779969985,"dietary-draws.rdata"
"RMSE","BG/CNBD-k",0.280852519998254,"dietary-draws.rdata"
