fn,bgcnbd_mae,bgcnbd_bias,pggg_mae,pggg_bias,T.cal,T.star,t,gamma,r,alpha,s,beta,N,compute_time,idx
simulation-1.rdata,0.711738160724018,-0.0879930012113333,0.623608333333333,-0.020225,52,52,1.6,0.4,0.25,5,0.25,5,1000,3155,1
simulation-2.rdata,0.654079881917337,0.0563382549330945,0.632466666666667,0.0404166666666667,52,52,5,2.5,0.25,5,0.25,5,1000,3383,2
simulation-3.rdata,0.73493674912715,-0.0775377376287503,0.675116666666667,-0.1113,52,52,6,4,0.25,5,0.25,5,1000,3167,3
simulation-4.rdata,0.859679370356554,-0.101425795708363,0.837675,-0.048725,52,52,8,8,0.25,5,0.25,5,1000,2996,4
simulation-5.rdata,0.801059546655253,-0.0393837563569982,0.792108333333333,-0.0518416666666667,52,52,17,20,0.25,5,0.25,5,1000,3296,5
simulation-6.rdata,1.48925320820617,0.208132682462835,1.4118,0.0232666666666667,52,52,1.6,0.4,0.75,5,0.25,5,1000,3046,6
simulation-7.rdata,1.5822838623858,-0.112509904584916,1.48841666666667,-0.0670333333333333,52,52,5,2.5,0.75,5,0.25,5,1000,2821,7
simulation-8.rdata,1.69542781394041,0.292770086190846,1.58781666666667,0.0414,52,52,6,4,0.75,5,0.25,5,1000,3140,8
simulation-9.rdata,2.16141263498812,0.0588699135191706,2.16013333333333,0.0310333333333333,52,52,8,8,0.75,5,0.25,5,1000,2290,9
simulation-10.rdata,2.19165537692082,-0.0257567981149505,2.17545833333333,-0.0278083333333333,52,52,17,20,0.75,5,0.25,5,1000,2327,10
simulation-11.rdata,0.329649963376528,0.0136181526484009,0.281158333333333,0.0219583333333333,52,52,1.6,0.4,0.25,15,0.25,5,1000,2348,11
simulation-12.rdata,0.348198106239456,-0.030878328597748,0.324208333333333,-0.0225416666666667,52,52,5,2.5,0.25,15,0.25,5,1000,2601,12
simulation-13.rdata,0.38371182099748,-0.0346034182733317,0.358441666666667,-0.064325,52,52,6,4,0.25,15,0.25,5,1000,2586,13
