N,k,r,alpha,a,b,dropout_at_zero,idx_total,bias_cnbd,bias_nbd,mae_cnbd,mae_nbd,rmse_cnbd,rmse_nbd,lift_mae,lift_rmse,x0,alive,p,lambda,x_,T.star
4000,1,0.25,5,0.5,2.5,FALSE,1,0.0624775361364233,0.0624775361364233,0.964546706605761,0.964546706605761,2.02531626276611,2.02531626276611,1,1,0.53825,0.82975,0.166551658384543,0.0527066272593903,3.76394152680022,52
4000,2,0.25,2.5,0.5,2.5,FALSE,2,0.0325137915592041,0.0764328826139828,0.798165966329466,0.845577533695938,1.62586382221842,1.64825243587682,0.943929958546508,0.986416756820086,0.56925,0.83675,0.167312678351089,0.0991523300995342,3.54614045269878,52
4000,3,0.25,1.66666666666667,0.5,2.5,FALSE,3,0.0202665469682956,0.0836124350857704,0.751171929967526,0.826365271675143,1.56455391888926,1.62351940048425,0.909007137297541,0.963680457666597,0.58675,0.848,0.165937678846664,0.143532198423529,3.52934059286146,52
4000,4,0.25,1.25,0.5,2.5,FALSE,4,0.0203430321117332,0.0968662929469228,0.701366429165532,0.786486020259004,1.40113450718728,1.4742661275785,0.891772277064198,0.950394559690969,0.58325,0.84525,0.162650606457115,0.209107913159654,3.79004199160168,52
4000,1,0.5,5,0.5,2.5,FALSE,5,0.0064569102982747,0.0064569102982747,1.45617156795124,1.45617156795124,2.7541720769439,2.7541720769439,1,1,0.29375,0.706,0.164377099445613,0.103614188153942,4.70513274336283,52
4000,2,0.5,2.5,0.5,2.5,FALSE,6,0.0471826200993114,0.0961045636201726,1.26037694239044,1.35725401422714,2.38871476986024,2.45046751376338,0.928622740606253,0.974799607194833,0.3055,0.71075,0.168923398754477,0.197566754604117,4.34485241180706,52
4000,3,0.5,1.66666666666667,0.5,2.5,FALSE,7,-0.0299279751550054,0.0591755902551634,1.13650130071162,1.27417686050277,2.15356271570594,2.24153072539642,0.891949411373846,0.960755385284792,0.325,0.721,0.161745174255108,0.308373074959459,4.64777777777778,52
4000,4,0.5,1.25,0.5,2.5,FALSE,8,-0.0187087123538288,0.0638501992216481,1.08055927157485,1.23571498874265,2.0222259287602,2.12970798915026,0.874440531529302,0.949532019911825,0.32175,0.72175,0.166750969756556,0.406271017481764,4.44157758938445,52
4000,1,0.25,5,0.5,2.5,FALSE,1,0.10540755978424,0.10540755978424,0.374000210505166,0.374000210505166,0.805568894959564,0.805568894959564,1,1,0.53825,0.82975,0.166551658384543,0.0527066272593903,3.76394152680022,16
4000,2,0.25,2.5,0.5,2.5,FALSE,2,0.0467073491896135,0.0697424881486768,0.316872648013108,0.331216671264522,0.611645301448733,0.613764233702258,0.956692930954679,0.99654764462122,0.56925,0.83675,0.167312678351089,0.0991523300995342,3.54614045269878,16
